Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
smoked trout curry,fish/seafoo	bbq/grill,6 servings,1 lb hot smoked lake trout	3 c  cooked rice	1/4 c  onion; chopped	condiments:	3 tb butter or oil	chopped green pepper	3 tb flour	chopped canton ginger	1 1/2 ts curry powder	chopped tomatoes	1/4 ts salt	chopped onions	1/4 ts ginger	toasted shredded coconut	pepper	sieved hard cooked eggs	2 c  milk	chopped nuts,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x","in a large bowl , combine all ingredients . mix well . add remaining ingredients . cover and refrigerate until ready to serve .  <EOS>",combine all ingredients except the milk and the milk bring to a boil stirring constantly until the mixture thickens and thickens stir in the milk cook for minutes or until the mixture thickens and the mixture thickens and,in a large bowl combine the eggs and salt and pepper to taste with salt and pepper add the onion and garlic and cook until the mixture is golden add the onion and the pan and cook for
poinsettia pie,pies	holidays,1 pie,"2 c  chocolate wafer crumbs	6 tb butter or margarine melted	1/8 ts peppermint extract (opt)	3/4 c  sugar, divided	1    env unflavored gelatin	1/3 c  cold water	3    eggs, separated	1/3 c  creme de menthe	1/2 c  whipping cream, whipped	chocolate leaves	1    round yellow candy	3/4 c  white chocolate baking bars or confectionery coating, coarsely chopped	red food coloring	shortening	3/4 c  semisweet chocolate, coarsely chopped	pastry brush	6 md (or 8) lemon leaves",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
popcorn drops,cookies	low-cal,6 servings,2 c  unsalted popped corn	3    egg whites	1/2 ts baking powder	1/4 ts salt	1/4 ts cream of tartar	2 tb granulated sugar replacement,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine the egg , egg , and the egg white and blend . add the egg and mix well . add the egg and mix well . add the egg , and the egg . mix well . add the egg , and the egg white and mix well . pour into a greased 13x9x2-inch pan . bake at 350 deg . for 20 minutes .  <EOS>",in a large mixing bowl combine the first ingredients mix well add the sugar and beat until well combined stir in the sour cream and vanilla and beat until the mixture is fluffy add the sifted and the sifted dry ingredients and mix well add the sifted dry ingredients and mix well add the sifted dry ingredients and mix well bake at f for minutes or until the,in a large bowl combine the sugar and salt and pepper in a medium bowl add the flour and salt and pepper to taste and mix well and pour into a greased x x inch baking pan bake at for minutes or until golden brown cool on wire rack <EOS>
pork chop rose,main dish	red wine,2 servings,"4    pork blade,rib or loin chops	1    small onion,thinly sliced	grated peel of large orange	2 tb brown sugar	1    small orange,thinly sliced	1 ts salt	1/2 c  rose wine	juice of large orange	1/4 ts ground allspice",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large bowl , combine all ingredients . pour into a greased 9 '' x 13 '' pan . bake at 350 deg . for 20 minutes or until chops are tender .  <EOS>",in a large bowl combine the first four ingredients and mix well cover and let stand for minutes or until the meat is tender drain the excess fat from the marinade and set aside in a large bowl combine the first four ingredients and mix well cover and let stand for minutes before serving <EOS>,in a large skillet over medium heat add the onion and cook until the onion is tender add the onion and saute for minutes add the garlic and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and stir fry for minutes add the remaining ingredients and stir fry for
pork chops cherry sauce,pork	russian,6 servings,"6    pork chops, loin; abt 1/2"" thick	salt; to taste	pepper; to taste	bread crumbs, dry	oil; for frying	;water	1 c  sour cherries; pitted & pureed	sugar; to taste	1/2 ts cinnamon, ground	1/2 ts cloves, ground	1 ts lemon rind; grated	1 tb honey	1/2 tb madeira",TRIMMED DATA,TRIMMED DATA,in a large saucepan bring the water to a boil add the salt and pepper and cook for minutes or until the meat is tender drain the liquid and add the water to the pot and cook for minutes add the water and cook for minutes add the salt and pepper and cook for minutes add the salt and pepper and cook for minutes or until the meat is tender and the meat is tender serve with the rice <EOS>,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and cook for minutes add the onion and garlic and cook for minutes add the onion and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the
pork roast,none,6 servings,"3 lb pork roast	1 pk knorrs onion soup mix	1 c  white wine	2    bags or carrots peeled and cut into 2"" pieces	7    potatoes peeled and cut into 2"" cubes	1    carrot finely chopped	1    celery stalk finely chopped	1/2    green pepper finely chopped	1 sm onion finely chopped	3    cloves garlic	1 ts dry mustang	1/2 ts cayanne pepper	salt and pepper	butter",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
pork cumin,mexican	meats	pork	main dish	vegetables,7 servings,"2 lb pork shoulder; boneless, 	1/4 c  unbleached flour	1/2 c  vegetable oil	1/2 c  onion; chopped, 1 medium	2    bacon; slices, cut up	1/2 c  water	2 tb orange juice	2 tb lime juice	2 tb chicken bouillon; (dry)	2 tb cumin seed	1 ts oregano leaves; dried	1/2 ts salt	1/4 ts pepper	4 c  tomatoes; chopped, 4 medium	2 c  potatoes; diced 	1/2 c  dairy sour cream","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large bowl , combine all ingredients . mix well . add remaining ingredients . cover and refrigerate for 30 minutes .  <EOS>",in a large saucepan combine water and bring to a boil add salt pepper and cook for minutes or until tender drain off fat add water and cook stirring occasionally until thickened and bubbly stirring constantly add salt and pepper to taste and simmer for minutes or until tender drain and set aside in a large saucepan heat oil over medium heat add onion and cook until soft add remaining ingredients and cook stirring constantly until thickened and bubbly stirring constantly,in a large skillet over medium heat add the onion and saute until golden add the onion and saute for minutes add the garlic and cook for minutes add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and stir fry for minutes add the remaining ingredients and cook for
positanos penne contandino,restaurants	dkuhnen msn,4 servings,"1 lb penne rigate	1/3 c  olive oil	2 md zucchini, thinly sliced	1 md onion, finely chopped	1/2 c  finely chopped fresh basil	salt and pepper	1/3 lb goat cheese	1/2 c  grated italian parmesan	cheese",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large skillet , heat oil over medium-high heat . add onion and garlic ; cook over medium heat until onion is tender . add onion , celery , carrots , carrots , carrots , and cook , stirring , until vegetables are tender . stir in tomatoes , salt and pepper . cook over medium heat until hot . add tomatoes",heat oil in a large saucepan over medium heat add onion and cook until soft about minutes add tomatoes and cook stirring until softened about minutes add tomatoes and basil and cook stirring until thickened and bubbly stirring constantly add tomatoes and basil and cook stirring constantly until thickened and bubbly stirring constantly add tomatoes,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and saute for minutes add the onion and saute until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the rice and the
potato bowls,cooking	live,6 potato bowl,3 lg russet potatoes,cut into the pieces . add the remaining ingredients and mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large bowl , combine all ingredients . mix well . in a separate bowl , combine all ingredients . mix well . add remaining ingredients .  <EOS>",in a large saucepan bring to a boil reduce heat and simmer for minutes or until potatoes are tender drain potatoes and return to pot add salt and pepper to taste and simmer for minutes or until potatoes are tender add remaining ingredients except cream and bring to a boil stirring constantly until thickened and bubbly serve over potatoes <EOS>,in a large bowl combine the vinegar and water and salt and taste in the vinegar and taste and taste <EOS>
potato devils food cake,cakes,6 servings,1/4 c  shortening	2 1/4    squares unsweetened chocolate	1    egg	6 tb evaporated milk	2 ts baking powder	1 ts vanilla	1 c  sugar	1/2 c  mashed potatoes	1/4 ts salt	1 1/4 c  flour	1/2 c  chopped nuts,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,mix all ingredients together . add the milk and mix well .  <EOS>,sift together flour baking powder and salt add to creamed mixture stir in flour and vanilla add to creamed mixture mix well add flour and stir until mixture is moistened add to creamed mixture stir in flour mixture and stir until mixture thickens stir in flour and vanilla stir in flour mixture and stir until mixture thickens and smooth add eggs and vanilla and beat until,in a large bowl combine the flour baking powder and salt and salt in a medium bowl beat together the eggs and vanilla add the egg whites and the egg whites and the egg whites and beat until smooth and elastic and form a dough into a ball and place in a greased x x inch baking pan bake at degrees for minutes or until golden
potato kugel bread,breadmaker	breads,6 servings,3/4 c  mashed potatoes 	3/4 c  potato water	2 1/4 tb vegetable oil	3/4 ts salt	1 tb sugar	3 c  bread flour	1 1/2 ts yeast	2 ts wheat germ,combine all ingredients in a large bowl,"in a large bowl , combine all",in a large bowl mix,combine all ingredients except the
potato pancakeslatkes,panckes	jewish	potato	side-dishes,100 servings,4    very large potatoes	1    egg	1 tb salt	1 ds pepper	1 tb flour	2 ts grated onion	1/2 ts baking powder,combine all ingredients in a large bowl . mix,"in a large bowl , combine the egg ,",preheat oven to f in a large bowl,combine all ingredients except the remaining ingredients except
piemento cheese,appetizers	cheese,12 servings,2 lb velveeta cheese	8 oz chopped piemento (4oz jars)	1 c  mayonnaise	1 ts ground black pepper	1/2 ts ground red pepper,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large bowl , combine all ingredients . mix well . add remaining ingredients . cover and refrigerate at least 1 hour .  <EOS>",combine all ingredients in a blender container and blend until smooth <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir in the flour and salt add the rest of the mixture and
pikelets bakestone recipes,breads	breakfast,8 servings,"8 oz plain or unbleached flour	1 ts salt	1/2 oz fresh yeast	1 ts sugar	5 fl warm water	1 ts butter	5 fl warm milk	1    egg, beaten",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
pine bark stew,wildgame	fish,1 servings,"2 lb grouper fillets	6    bacon slices, cut small	1 c  onion, finely chopped	3 c  potatoes, diced	24 oz tomatoes, can	2 ts salt	1/4 lb butter	2 tb worcestershire sauce	1/2    catsup, bottle	1/2 c  chili sauce	1/2 ts pepper	1/2 ts thyme	1/2 ts basil","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat the oil over medium heat . add the onion , garlic , and cook over medium heat until the onion is tender . add the onion , garlic , and cook until the onion is tender . add the beans and cook over low heat until the vegetables are tender . add the beans and cook until the vegetables are tender . add the beans and cook over low heat until the vegetables are tender . add the beans and cook until the beans are tender . add the beans and cook over medium heat until the vegetables are tender . add the beans and cook until the beans are tender . add the beans and cook until the",heat oven to f in a large saucepan combine the onion garlic and parsley and cook over medium heat stirring constantly until the mixture thickens and thickens add the tomatoes and cook stirring until the sauce thickens and thickens add the tomatoes and cook stirring until the sauce thickens and thickens <EOS>,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and cook for minutes add the tomatoes and cook for minutes add the rice and the salt and pepper to taste and taste <EOS>
pineapple pork roast,main	dish,8-10 servings.,"1 sm onion, sliced	1/4 c  celery sliced	1/4 c  sliced carrots	1    3 pound rolled boneless pork roast	salt and pepper	1 sm bay leaf, crumbled	1/2 c  pineapple juice	1/4 c  soy sauce	1/4 c  apricot preserves	1 ts cornstarch",TRIMMED DATA,TRIMMED DATA,combine all ingredients and bring to a boil over high heat add the pork and cook for minutes or until the meat is tender serve with the pork <EOS>,in a large skillet over medium heat add the onion and saute for minutes add the onion and cook until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the rice and the stock and bring to a boil and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the remaining ingredients and stir until the mixture is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed add the remaining
pineapple snow  custard sauce,diabetic	desserts	sauces	low-fat/cal,8 servings,"1 tb unflavored gelatin (1 pkg)	2 tb sugar	1/8 ts salt	1/2 c  water	1 1/2 c  unsweetened pineapple juice	2    egg whites	custard sauce, optional	2    eggs, slightly beaten	2 tb sugar	1/4 ts salt	1 1/2 c  skim milk	1 ts vanilla",TRIMMED DATA,TRIMMED DATA,combine milk and milk in a large saucepan bring to a boil over high heat reduce heat and simmer for minutes or until gelatin is dissolved stir in the milk and cook stirring constantly until thickened and bubbly stirring constantly remove from heat and stir in the sour cream and continue to cook stirring constantly until thickened and bubbly stir in pineapple and vanilla and continue to beat until dissolved add the cream and beat until dissolved add the milk and blend until dissolved stir in the pineapple juice and vanilla and mix well pour into a greased x inch baking dish bake at f for minutes or until firm <EOS>,in a large bowl combine the sugar and salt and pepper in a medium bowl add the sugar and salt and the egg whites and beat until the mixture is smooth and elastic fold in the flour and salt add the flour and the egg whites and the egg whites and the mixture and the mixture is stiff and fold in the flour mixture and mix well and pour into a greased x x inch baking pan bake at degrees for minutes or until the cake is golden brown cool on wire rack <EOS>
pink dream,beverages,1 servings,3/4 oz white creme de cacao	3/4 oz vodka	3 oz raspberry sherbet	3 oz vanilla ice cream	3 oz ice,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and cook until","in a large bowl , combine ice cream , and ice cream . mix well . pour into prepared pan",in a large saucepan bring to a boil reduce heat and simmer for minutes or,combine all ingredients in a saucepan bring to a boil and cook for minutes or
pinto bean bread,breads,2 servings,"2 c  milk-lukewarm	2 pk dry yeast	2 c  cooked, mashed, unseasoned	pinto beans	2 tb sugar	2 ts salt	2 tb shortening	5 c  flour <5-6c>",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine the flour , baking powder , salt , and salt . mix well . add the flour and mix well . pour into a greased 13x9x2-inch pan . bake at 350 deg . for 45 minutes or until golden brown .  <EOS>",combine all ingredients except liquids and yeast in a large bowl add the remaining ingredients cover and let rise until doubled about hours punch down down to rise and let rise again for minutes before removing to a wire rack to cool <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl combine the flour baking powder and salt and salt in a large bowl add the eggs and mix well add the flour mixture and mix well add the eggs and mix well add the egg whites and the egg whites and the egg whites and the egg whites and the egg whites add the egg whites
piquant thai dipping sauce,sauces	low-fat	thai,4 servings,"1/4 c  tomato sauce	3 tb lime juice	2 tb light brown sugar	1/4 ts chinese chili sauce	1    garlic clove,minced	2 ts fresh mint leaves,coarsely chopped	1 ts lime peel,grated or minced	1 tb cornstarch mixed with	1 tb cold water",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x,"in a bowl , combine all ingredients except cilantro and mix well . in a small bowl , combine the remaining ingredients . mix the remaining ingredients together and serve with a dollop of lime juice .  <EOS>",in a large saucepan combine the water and sugar add the sauce and cook for minutes or until the mixture thickens slightly and the sauce thickens and the garlic is tender and the sauce is reduced to a boil add the water and cook for minutes or until the sauce thickens and thickens <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl and add the rest of the ingredients and mix well and add the rest of the ingredients and mix well and add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic and about minutes rrb add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is
pitkin county pork chops,meats,6 servings,"2 tb butter	1/2 c  chopped onion	3    cloves garlic, minced	1 ts salt	1/4 c  prepared mustard	1/4 ts cayenne pepper	2 tb cider vinegar	2 tb packed light brown sugar	2 tb worcestershire sauce	6    pork chops 1-1/2 inches thic	3/4 c  ketchup	1/2 c  chili sauce	1/3 c  water",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large skillet , heat the oil over medium heat . add the onion , garlic , and cook over medium heat until the onion is tender . add the onion , garlic , and cook over medium heat until the meat is brown , about 3 minutes . add the onion and garlic . cook over medium heat until the meat is brown , about 10 minutes . add the tomatoes and cook until the mixture is reduced to the sauce . add the remaining ingredients .",in a large saucepan combine the water and the water bring to a boil reduce heat and simmer uncovered for minutes or until the meat is tender drain the liquid and add the sauce and cook for minutes or until the meat is tender drain the liquid and add the sauce and cook for minutes or until the meat is tender serve with sauce <EOS>,in a large bowl combine the vinegar and water and salt and pepper to taste with salt and pepper to taste <EOS>
pizza hat crust,pizza	pastry	cake mix,2 servings,van geffen vghc42a	2 pk dry yeast	2/3 c  warm water	2 ts sugar	2 c  cold water	3 tb corn oil	2 tb sugar	1/4 ts garlic salt	1 ts salt	1/2 ts dry oregano leaves	6 1/2 c  all-purpose flour -- (6 1/2	to 7),TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
pizza meat pie,main dish	easy	meat,4 servings,1 lb lean ground beef	1/2 c  rolled oats	1/2 ts salt	1/4 ts pepper	1 cl garlic crushed or 1/8 tsp minced garlic	1 c  water	1 c  mozzarella cheese	3/4 c  tomato paste	3/4    can mushrooms	1 ts oregano	1 ts grated onion or minced onion	1/3 c  parmesan cheese,"in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large skillet , heat oil over medium-high heat . add onion , celery , garlic , and garlic . cook over medium heat until tender . add onion , celery , carrots , carrots , carrots , carrots , carrots , carrots , carrots , and garlic . cook over medium heat until hot . add remaining ingredients . cook over medium heat until hot . add tomatoes and cook until onion is tender . stir in remaining ingredients . add remaining ingredients . cover and refrigerate at least 1 hour",combine all ingredients in a large saucepan bring to a boil reduce heat and simmer for minutes or until the cheese melts and the meat is cooked add the tomatoes tomato paste and cook for minutes or until the cheese is melted add the tomatoes tomato paste and the tomato paste and cook stirring until the mixture thickens and the mixture thickens and thickens stir in the tomato paste,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and saute for minutes add the onion and saute for minutes add the onion and saute for minutes add the garlic and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and stir
pizza rice crust,pizza,4,"1 tb oil	1    onion, small, sliced	1    garlic, minced	1 c  mushrooms, sliced	1    green or red pepper	2 c  white rice, cooked	1    egg, beaten	2 1/2 c  part-skim mozzarella	1/2 c  tomato sauce	1/2 ts basil, dried	1/4 ts oregano, dried	1    black pepper, freshly ground	1 ds tabasco sauce	seed the green or red pepper and cut into strips.","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9","in a large skillet , heat the oil over medium-high heat . add the onion , garlic , mushrooms , and mushrooms . cook over medium heat until the vegetables are tender . add the mushrooms and cook until the onion is tender . add the garlic , and cook until the vegetables are tender . add the mushrooms and cook until the vegetables are tender . add the mushrooms and cook until the vegetables are tender . add the mushrooms and cook until the vegetables are tender . stir in the chopped parsley .  <EOS>",in a large saucepan bring the water to a boil add the salt and pepper and cook for minutes or until the rice is tender drain the rice and add the water to the soup and cook for minutes add the tomatoes and cook for minutes or until the rice is tender drain the rice and add the water to the pot add the water and cook for minutes add the water and cook for minutes add the water and cook for minutes or until tender drain the rice and add the water to the pot add the,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the rice and stir fry for minutes add
sauteed cabbage  leeks,side dish	christmas	vegetables,6 servings,"1 tb garlic oil	1/2 lg head red cabbage, chopped	3 ea leeks, white parts alone, - cleaned & sliced	1 ts thyme",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients except garlic . stir in the yogurt and serve .  <EOS>",in a large saucepan bring the water to a boil add the salt and pepper to taste and cook for minutes or until the,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the garlic and cook
sauteed chicken paprika,poultry	low-fat	low-cal,4 servings,"3 tb matzo meal	1 tb paprika	1 ts dry mustard	1/4 ts salt, if desired	4    boneless chicken breast halves, skinless	4 ts peanut oil	1/3 c  chopped onion	2    garlic cloves, minced	3/4 c  chicken broth	1/4 c  white wine	1 sm tomato, chopped and seeded	chopped fresh parsley",TRIMMED DATA,TRIMMED DATA,in a large saucepan bring to a boil add chicken and cook for minutes or until tender drain and reserve broth add water to cover simmer for minutes or until tender drain and rinse in cold water drain off any fat from skillet add onion and cook until onion is no longer pink stirring occasionally about minutes add chicken broth and broth bring to a boil reduce heat and simmer covered for minutes or until chicken is tender remove chicken from pan and keep warm add remaining ingredients and bring to a boil reduce heat to low and simmer minutes or until chicken is no longer pink remove chicken from marinade and serve hot <EOS>,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and saute until the onion is tender add the garlic and cook for minutes add the onion and cook for minutes add the tomatoes and cook until the meat is tender add the rice and stir fry for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and stir until the mixture is smooth and the mixture is reached to the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed add the remaining ingredients and the sauce and cook for minutes add
scallop bubbly bake,seafood	casseroles	main dish,2 servings,"1 lb scallops	1    can lobster meat, 8oz	1 md onion	3    celery stalks	1 cn mushrooms, sliced, 8oz	1 md green pepper, finely diced	2 tb butter	1 cn cream of mushroom soup, 10oz	1 c  buttered bread crumbs","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and","in a large skillet , heat the oil over medium-high heat . add the onion and garlic . cook over medium heat until the vegetables are tender . add the mushrooms and cook until the",in a large saucepan melt butter over medium heat add onion and saute until onion is golden add onion and celery and cook until tender add onion,in a large skillet over medium heat add the onion and saute until the onion is tender add the garlic and cook for minutes add the tomatoes
scandinavian beef patties beets  cape,meats,4 servings,1    medium russet potato (about	2 tb heavy cream	1 pn ground cloves	2 ts butter	1    small onion; minced	1 lb ground sirloin	1    egg yolk	1/2 c  finely chopped pickled beets	1 tb capers	1/2 c  flour	1 tb vegetable oil,TRIMMED DATA,TRIMMED DATA,preheat oven to f lightly grease a x inch baking dish combine the flour and salt in a large bowl mix the flour and salt and mix well add the flour and mix well add the flour and the butter and mix well add the cream and the butter and mix well add the cream and the flour and stir until the mixture is smooth and creamy add the cream and stir until the mixture is thickened and bubbly add the cream and cook stirring constantly until the mixture thickens and thickens and thickens about minutes add the cream and cook stirring constantly until the mixture thickens and thickens stirring constantly remove from heat and stir in the sour cream and the flour and cook stirring constantly until the mixture thickens and thickens and thickens about minutes add the cream and,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir until the mixture is smooth and creamy add the flour and salt and pepper to taste and taste add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic fold in the flour and salt add the rest of the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic and about minutes rrb add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the
searing salsa,sauces,1 servings,"2 ea tomatoes, diced	1 ea green pepper, seeded,diced	1 ea medium onion, diced	1 tb fresh cilantro, minced	3 ea clove garlic, minced	4 ea jalapeno or serrano peppers, eeded and minced	2 ts lime juice	2 ts ground cumin	1 ts dried oregano	1 ts red hot sauce	1/4 ts black pepper	1/4 ts white pepper	1/4 ts salt	1/4 ts dried red pepper flakes	1/4 ts cayenne pepper	2 c  canned crushed tomatoes",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large skillet , heat oil over medium heat . add onion , celery , onion , celery , carrots , onion , and garlic ; cook over medium heat until onion is tender . add onion , celery , carrots , carrots , onion , salt , pepper , and cook until vegetables are tender . add onion and cook until vegetables are tender . stir in remaining ingredients . cover and refrigerate until ready to serve",in a large saucepan bring to a boil reduce heat and simmer for minutes or until the vegetables are tender drain the tomatoes and add the tomatoes and the lime juice and the garlic and cook for minutes add the tomatoes and cook for minutes or until the onion is tender drain the tomatoes and add the tomatoes and the remaining ingredients and simmer for minutes or until,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the garlic and cook for minutes add the onion and cook for minutes add the tomatoes and cook for minutes add the tomatoes and the stock and bring to a boil and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and
